matrix,scenario,method,n,unknowns,operator_nonzeros,undirected_edges,interactions_per_unknown,preconditioner_flops,memory_bytes,setup_ms,runtime_ms,preconditioner_ms,iterations,relative_residual,relative_solution_error
"authority","authority-Localized","Jacobi-PCG",16,4096,33856,0,0,4096,32768,0,2.1049,0.0956,48,6.769134400461526E-09,7.281463464231911E-09
"authority","authority-Localized","graph-coefficient-only-selection+weight-b8",16,4096,33856,16384,8,110592,753664,303.9083,2.2824,0.8416,34,7.532887309602297E-09,5.91669453622779E-09
"authority","authority-Localized","graph-Geometry+Material+Authority-selection+weight-b8",16,4096,33856,16384,8,110592,753664,295.3509,2.3018,0.8854,33,9.867958220258668E-09,8.66596948940162E-09
"authority","authority-Asymmetric","Jacobi-PCG",16,4096,33856,0,0,4096,32768,0,2.1334,0.0946,48,6.769134400461526E-09,7.281463464231911E-09
"authority","authority-Asymmetric","graph-coefficient-only-selection+weight-b8",16,4096,33856,16384,8,110592,753664,302.5205,2.2997,0.8583,34,7.532887309602297E-09,5.91669453622779E-09
"authority","authority-Asymmetric","graph-Geometry+Material+Authority-selection+weight-b8",16,4096,33856,16384,8,110592,753664,303.8142,2.6843,1.0581,35,8.002856532121214E-09,5.141719503094797E-09
"scaling","n-16","graph-coefficient-only-selection+weight-b8",16,4096,33856,16384,8,110592,753664,314.4177,2.254,0.8274,34,7.532887309602297E-09,5.91669453622779E-09
"scaling","n-16","graph-Geometry+Material+Authority-selection+weight-b8",16,4096,33856,16384,8,110592,753664,300.3749,2.4871,0.9844,35,9.341017753193475E-09,7.120143507182173E-09
"scaling","n-16","two-level-geometric(Richardson-8)",16,4096,33856,0,0,84224,90816,0.4902,3.3611,1.9493,30,9.164414353229454E-09,3.374624074231356E-09
"scaling","n-32","graph-coefficient-only-selection+weight-b8",32,32768,282752,131072,8,884736,6029312,19848.2479,36.6913,13.4232,63,8.979597687547958E-09,7.130901723996479E-09
"scaling","n-32","graph-Geometry+Material+Authority-selection+weight-b8",32,32768,282752,131072,8,884736,6029312,19857.5709,49.1658,23.1889,72,9.775292919868161E-09,5.375566588069175E-09
"scaling","n-32","two-level-geometric(Richardson-8)",32,32768,282752,0,0,713216,756096,4.7302,38.567,21.1731,47,8.275264177923958E-09,3.1028004728571405E-09
