method,n,iteration,absolute_residual,relative_residual
"Hierarchical-screened(2x2x2,length=2)",8,13,2.9689614119467E-05,6.005882259176783E-06
"Hierarchical-screened(2x2x2,length=2)",8,14,2.058132903899928E-06,4.1633764065851316E-07
"Hierarchical-screened(2x2x2,length=2)",8,15,5.588649785902696E-07,1.1305223593289226E-07
"Hierarchical-screened(2x2x2,length=2)",8,16,1.219684458695843E-07,2.467287457088212E-08
"Hierarchical-screened(2x2x2,length=2)",8,17,1.9084837123272172E-08,3.860652558053406E-09
"Two-level-control(Jacobi-8)",8,0,4.943422604414578,1
"Two-level-control(Jacobi-8)",8,1,6.959995119202151,1.407930431233359
"Two-level-control(Jacobi-8)",8,2,2.508548757946578,0.5074518119705955
"Two-level-control(Jacobi-8)",8,3,0.8679754825368083,0.17558188971375588
"Two-level-control(Jacobi-8)",8,4,0.2857029855338372,0.05779457036076555
"Two-level-control(Jacobi-8)",8,5,0.11332304173560383,0.02292400444064888
"Two-level-control(Jacobi-8)",8,6,0.05789171398369545,0.01171085675175676
"Two-level-control(Jacobi-8)",8,7,0.01993406432548693,0.004032441876946835
"Two-level-control(Jacobi-8)",8,8,0.006227960193315661,0.0012598478203651787
"Two-level-control(Jacobi-8)",8,9,0.0014026000308007263,0.00028373055331101484
"Two-level-control(Jacobi-8)",8,10,0.0005159103716275933,0.00010436299157730815
"Two-level-control(Jacobi-8)",8,11,0.00017497143745020735,3.539479657149973E-05
"Two-level-control(Jacobi-8)",8,12,5.478866534150099E-05,1.1083144154532446E-05
"Two-level-control(Jacobi-8)",8,13,4.10882406171173E-06,8.31169897965524E-07
"Two-level-control(Jacobi-8)",8,14,1.3517334066842855E-06,2.734407949417798E-07
"Two-level-control(Jacobi-8)",8,15,2.716339696747097E-07,5.4948563254967314E-08
"Two-level-control(Jacobi-8)",8,16,7.255736294030829E-08,1.4677556168374736E-08
"Two-level-control(Jacobi-8)",8,17,1.5380455991097077E-08,3.1112970146153427E-09
"CG",16,0,13.041245655219772,1
"CG",16,1,19.587675372562625,1.5019788669284546
"CG",16,2,11.445067156162859,0.877605365219231
"CG",16,3,7.574965566348885,0.5808467815585544
"CG",16,4,5.114756393428484,0.39219845470676323
"CG",16,5,3.6993442517363833,0.28366494655023367
"CG",16,6,3.036574888940447,0.23284392988372662
"CG",16,7,1.7424581457549413,0.13361132761558867
"CG",16,8,1.1582272630245731,0.0888126252388315
"CG",16,9,0.49000122215605924,0.03757319163449204
"CG",16,10,0.22311656362702004,0.017108531617738326
"CG",16,11,0.08047152287137602,0.006170539609394384
"CG",16,12,0.04026888371904235,0.0030878096144845405
"CG",16,13,0.04757685070919743,0.0036481830008435385
"CG",16,14,0.02906789126178074,0.002228919846329732
"CG",16,15,0.01151382022021811,0.0008828773358478752
"CG",16,16,0.008308548228245193,0.0006370977472477629
"CG",16,17,0.005941658092200076,0.00045560510470270314
"CG",16,18,0.0027877241689899307,0.00021376210852021955
